D,rho,H,chave_kg,alvarez_kg,ratio,pct_diff
16.5,0.6,17.546398765383195,159.34807702583967,169.08698477191842,0.9424029722972731,-5.75970277027269
16.75,0.6,17.711446644218512,165.60122105290301,175.4176406306555,0.9440397240410894,-5.596027595891062
17,0.6,17.874648139796285,171.9930035027463,181.87752562097253,0.9456528667603203,-5.434713323967966
17.25,0.6,18.036023907523653,178.52392627207047,188.4668645093113,0.947243043157066,-5.275695684293402
17.5,0.6,18.19559437173662,185.19446919438232,195.18586377661333,0.9488108698606064,-5.1189130139393635
17.75,0.6,18.353379728285077,192.00509058439627,202.03471215719142,0.9503569388363734,-4.9643061163626605
18,0.6,18.509399947088827,198.95622777061277,209.01358116312693,0.9518818187002653,-4.811818129973466
18.25,0.6,18.66367477466507,206.04829761635156,216.1226255946506,0.9533860559458778,-4.6613944054122225
18.5,0.6,18.81622373662761,213.28169702951024,223.36198403694922,0.9548701760915077,-4.5129823908492295
18.75,0.6,18.96706614015807,220.65680346130756,230.7317793438145,0.9563346847531818,-4.366531524681816
19,0.6,19.116221076449506,228.1739753942663,238.23211910853828,0.9577800686493936,-4.221993135060642
19.25,0.6,19.26370742312263,235.83355281967934,245.86309612243863,0.9592067965427206,-4.079320345727943
19.5,0.6,19.40954384661507,243.635857704798,253.6247888213886,0.9606153201230455,-3.9384679876954487
19.75,0.6,19.55374880454384,251.5811944499721,261.5172617207004,0.9620060748366966,-3.7993925163303355
20,0.6,19.696340548041423,259.6698503359675,269.54056583870766,0.9633794806654566,-3.6620519334543356
20.25,0.6,19.8373371240657,267.90209596167733,277.6947391093735,0.9647359428590428,-3.526405714095715
20.5,0.6,19.97675637768402,276.278185672439,285.9798067842366,0.9660758526243877,-3.3924147375612335
20.75,0.6,20.114615954331775,284.79835797916337,294.3957818240067,0.9673995877747298,-3.2600412225270214
21,0.6,20.25093330204566,293.4628359684746,302.94266528008745,0.9687075133413506,-3.1292486658649366
21.25,0.6,20.385725673671946,302.2718277040567,311.6204466663245,0.9699999821504715,-3.000001784952855
21.5,0.6,20.519010129050113,311.22552661939596,320.4291043212387,0.971277335367714,-2.872266463228601
21.75,0.6,20.650803537171946,320.3241119021021,329.3686057610052,0.9725399030122929,-2.7460096987707128
