year,developer_CO2e_ha,posterior_median,posterior_low_90,posterior_high_90,developer_percentile
10,166.38259881136312,64.66510497063062,51.8755631506991,76.72551338734787,100
20,285.97641918791777,119.90014868978821,91.35601694920804,147.77085003344547,100
30,348.43649502991815,150.32462657307275,104.63450706261949,193.58428392289244,100
40,379.13333333333327,163.330714530406,102.10449458192991,222.03043563712302,100
