year,assumption,beta,direction,contribution_pct
10,Survival,0.22983742749353278,Positive,5.590326512042402
10,Early growth,0.9420054546122126,Positive,93.90798139656755
10,Mature biomass,3.4345381324634843e-4,Positive,1.2483384726136508e-5
10,Mortality,-0.04460165484865586,Negative,0.21052206207359586
10,Allometry,0.052452499708398104,Positive,0.29115754593173193
20,Survival,0.34547909441158003,Positive,17.326065402921664
20,Early growth,0.5404414738823741,Positive,42.39881745070757
20,Mature biomass,0.501601618772692,Positive,36.52365763620508
20,Mortality,-0.13988098243652122,Negative,2.840362381545323
20,Allometry,0.07922352036992586,Positive,0.9110971286203583
30,Survival,0.36040427376673867,Positive,15.998566030812993
30,Early growth,0.17596901346491214,Positive,3.813937676718468
30,Mature biomass,0.7712969580609483,Positive,73.27307717704609
30,Mortality,-0.22223392610743908,Negative,6.08305735256605
30,Allometry,0.08215697234645435,Positive,0.8313617628563913
40,Survival,0.3433237566837732,Positive,12.8210814227456
40,Early growth,0.0014178700078300186,Positive,2.186702886837003e-4
40,Mature biomass,0.8460172422996007,Positive,77.85300403355636
40,Mortality,-0.282197510492649,Negative,8.662102183254964
40,Allometry,0.07810748440168118,Positive,0.6635936901543998
