year,low,median,high,developer_agb,developer_gross_CO2e_ha
10,8.854218469646458,55.992810411264585,221.3309072164842,96.54696255978519,166.38259881136312
20,35.932937208686035,115.8961665295547,319.20781218827267,165.94376355198324,285.97641918791777
30,45.4635465233211,147.35105418281273,402.60000753518995,202.1875212939564,348.43649502991815
40,45.092439235855664,157.05001301979232,450.5038192360521,220,379.13333333333327
